Taxon	GTDB taxonomy	BBF7405	BBF7406	BBF7407	BBF7408	BBF7409	BBF7410
s__Escherichia coli_D	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia	0.000000	0.140305	0.000000	0.000000	40.171315	0.000000
s__Escherichia dysenteriae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia	0.000000	0.096858	0.000000	0.000000	0.000000	0.000000
s__Escherichia flexneri	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia	0.000000	35.251575	0.000000	0.000000	0.488954	0.000000
s__Eubacterium callanderi	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium	0.000000	0.000000	0.000000	0.000000	0.086454	0.000000
s__Finegoldia MIC6997	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Helcococcaceae; g__Finegoldia	1.031864	0.000000	0.000000	0.000000	0.000000	0.000000
s__Finegoldia magna	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Helcococcaceae; g__Finegoldia	0.000000	0.000000	3.273514	0.000000	0.000000	0.000000
s__Haemophilus_D MIC9623	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Haemophilus_D	0.000000	0.000000	0.019074	0.000000	0.000000	0.000000
s__Haemophilus_D sp001815355	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Haemophilus_D	0.000000	0.000000	0.058043	0.000000	0.000000	0.000000
s__Klebsiella pneumoniae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.188907	27.891248	0.268313	0.000000	0.000000	0.000000
s__Klebsiella variicola	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	2.652504	0.000000	0.000000	0.000000	0.000000	0.000000
s__Klebsiella_A grimontii	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella_A	0.024833	0.000000	0.000000	0.000000	0.000000	0.000000
s__Lactobacillus acidophilus	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.177718	0.000000	0.641330	0.000000	0.000000	0.000000
s__Lactobacillus gasseri	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	3.554084	0.000000	0.000000	0.000000	0.000000	0.000000
s__Metakosakonia intermedia	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Metakosakonia	0.000000	0.360553	0.000000	0.000000	0.000000	0.000000
s__Metakosakonia intestini	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Metakosakonia	0.019862	0.000000	0.000000	0.000000	0.000000	0.000000
s__Negativicoccus succinicivorans	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Negativicoccaceae; g__Negativicoccus	0.527737	0.000000	0.000000	0.000000	0.000000	0.000000
s__Neisseria mucosa_A	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria	0.000000	0.000000	0.000000	0.728899	0.000000	0.000000
s__Parabacteroides distasonis	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0.000000	0.000000	0.000000	0.000000	1.731495	0.000000
s__Parabacteroides merdae	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0.000000	0.000000	0.000000	0.000000	0.725760	0.000000
s__Pseudomonas aeruginosa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.000000	12.570228	0.000000	0.000000	0.000000	0.000000
s__Rothia kristinae	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia	0.000000	0.000000	0.000000	0.000000	0.000000	1.346405
s__Staphylococcus aureus	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.419388	0.000000	0.034470	0.000000	0.000000	0.000000
s__Staphylococcus epidermidis	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.000000	0.310564	0.000000	15.134719	0.485720	46.182454
